chart,version,chart_ref,order,work_type,reviewer,reason,done_when,evidence
aqua/trivy-operator,0.32.1,aqua/trivy-operator@0.32.1,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/aqua/trivy-operator/0.32.1/CATALOG.md
aqua/trivy-operator,0.32.1,aqua/trivy-operator@0.32.1,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=19, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
aqua/trivy-operator,0.32.1,aqua/trivy-operator@0.32.1,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
aqua/trivy-operator,0.32.1,aqua/trivy-operator@0.32.1,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
argo-cd/argo-events,2.4.21,argo-cd/argo-events@2.4.21,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/argo-cd/argo-events/2.4.21/CATALOG.md
argo-cd/argo-events,2.4.21,argo-cd/argo-events@2.4.21,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=5, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
argo-cd/argo-events,2.4.21,argo-cd/argo-events@2.4.21,3,selected-live-evidence,operator reviewer,Strict parity evidence exists (live-helm-vs-confighub-parity); catalog promotion needs the selected runtime evidence boundary.,"The selected base has linked live evidence, GitOps/OCI evidence, live parity evidence, or a routed deferral with rationale.",data/live-kind-parity/summary.csv;data/live-helm-confighub-compare/summary.csv
argo-cd/argo-events,2.4.21,argo-cd/argo-events@2.4.21,4,target-scoped-support-decision,catalog owner,Catalog support is not implied by machine proof.,"A target-scoped support decision exists with supported, deferred, superseded, or blocked outcome.",data/production-support-decisions/summary.md
argo-cd/argo-rollouts,2.40.9,argo-cd/argo-rollouts@2.40.9,1,variant-selection,catalog reviewer,"Confirm the promoted base is a real Helm-user path, not merely the first rendered baseline.",A selected variant is named from default;no-crds and the non-selected variants have a written promote/defer reason.,recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md
argo-cd/argo-rollouts,2.40.9,argo-cd/argo-rollouts@2.40.9,2,scan-and-gate-disposition,security reviewer,"Scan/gate state is high=0, medium=10, gates=allow;warn.","Every warning is fixed, accepted with rationale, or routed to a narrower base before catalog support.",data/catalog-promotion-review/review.csv
