chart,catalog_status,legacy_patch_status,current_supported_version,old_versions_selected,required_artifacts,next_action,recipe_path
aqua/trivy-operator@0.32.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/aqua/trivy-operator/0.32.1
argo-cd/argo-cd@9.5.15,catalog-supported,review-lane-open,9.5.15,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/argo-cd/argo-cd/9.5.15
argo-cd/argo-cd@9.5.17,catalog-candidate,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/argo-cd/argo-cd/9.5.17
argo-cd/argo-events@2.4.21,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/argo-cd/argo-events/2.4.21
argo-cd/argo-rollouts@2.40.9,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/argo-cd/argo-rollouts/2.40.9
argo-cd/argo-workflows@1.0.14,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/argo-cd/argo-workflows/1.0.14
argo-cd/argocd-image-updater@1.2.2,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/argo-cd/argocd-image-updater/1.2.2
autoscaler/cluster-autoscaler@9.57.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/autoscaler/cluster-autoscaler/9.57.0
autoscaler/vertical-pod-autoscaler@0.9.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/autoscaler/vertical-pod-autoscaler/0.9.0
aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1
bitnami/apache@11.4.29,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/apache/11.4.29
bitnami/contour@21.1.4,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/contour/21.1.4
bitnami/elasticsearch@22.1.6,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/elasticsearch/22.1.6
bitnami/memcached@8.5.5,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/memcached/8.5.5
bitnami/mongodb@19.0.7,catalog-supported,review-lane-open,19.0.7,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/bitnami/mongodb/19.0.7
bitnami/mongodb@19.0.9,catalog-candidate,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/mongodb/19.0.9
bitnami/mysql@14.0.3,catalog-supported,review-lane-open,14.0.3,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/bitnami/mysql/14.0.3
bitnami/nginx@24.0.2,catalog-supported,review-lane-open,24.0.2,no,old-version source lock; old-version recipe; upgrade diff; patch receipt; rollback receipt,Select old chart versions worth paid patch support and generate the first upgrade/patch scenario.,recipes/bitnami/nginx/24.0.2
bitnami/nginx@24.0.4,catalog-candidate,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/nginx/24.0.4
bitnami/opensearch@2.0.10,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/opensearch/2.0.10
bitnami/phpmyadmin@20.0.0,proof-grade,not-eligible-until-catalog-promotion,,no,none yet,Promote chart to catalog-supported before opening old-version patch support.,recipes/bitnami/phpmyadmin/20.0.0
